Date,Open,High,Low,Close,Volume
8-Aug-2018,27930.55,28128.65,27858.75,28062.45,149989901.00
9-Aug-2018,28173.65,28363.4,28132,28320,254180287.00
10-Aug-2018,28348.95,28377.9,28087.65,28124.25,285470698.00
13-Aug-2018,27760.8,27911.85,27739.5,27794.4,165765211.00
14-Aug-2018,27864.4,28053.05,27854.9,28021.7,116466884.00
16-Aug-2018,27836.15,28013.1,27779.5,27826.55,185103463.00
17-Aug-2018,27991.75,28178.15,27953.8,28128.55,156310659.00
20-Aug-2018,28171.65,28322.3,28171.65,28274.25,177840658.00
21-Aug-2018,28295.85,28305.95,28151.9,28257.9,142439166.00
23-Aug-2018,28321.95,28325.45,27965.35,28027.9,133387354.00
24-Aug-2018,27954.25,28122.75,27782.8,27834.7,169952869.00
27-Aug-2018,27971.25,28317.75,27958.2,28264.2,146706980.00
28-Aug-2018,28379.9,28388.65,28152.7,28269.65,144026112.00
29-Aug-2018,28233.4,28344.1,28167.8,28224.1,168875762.00
30-Aug-2018,28233.7,28233.7,27961.75,28103.25,186360757.00
31-Aug-2018,27998,28157.35,27940.95,28061.75,229622699.00
3-Sep-2018,28199.45,28203.2,27777.4,27819.5,127011210.00
4-Sep-2018,27845.55,27875.15,27385.85,27430.75,165858496.00
5-Sep-2018,27409.3,27506.3,27136.05,27376.05,131880484.00
6-Sep-2018,27464.25,27552.8,27246.25,27468.7,120287292.00
7-Sep-2018,27439.25,27512.5,27232.8,27481.45,144905496.00
10-Sep-2018,27395.2,27404.85,27142.55,27201.75,178147552.00
11-Sep-2018,27295.2,27318.45,26772.25,26807.5,160826279.00
12-Sep-2018,26895.15,26895.15,26555.15,26819.2,174201027.00
14-Sep-2018,27059.85,27205.75,26989.8,27163.85,136633270.00
17-Sep-2018,27002.6,27002.6,26743.4,26820.3,115283101.00
18-Sep-2018,26757,26901.05,26407.45,26441.45,308575632.00
19-Sep-2018,26532,26611.6,26235.7,26277.35,244393690.00
21-Sep-2018,26331.05,26490.4,25053.35,25596.9,547285580.00
24-Sep-2018,25645.05,25649.7,24904.5,24970.35,272396270.00
25-Sep-2018,24947.7,25406.95,24678.25,25330.35,329548199.00
26-Sep-2018,25525.1,25525.1,25197.35,25376.3,215055339.00
27-Sep-2018,25442.1,25452.5,25007.05,25042.15,262822577.00
28-Sep-2018,25135.8,25354.7,24919.25,25119.85,367109389.00
1-Oct-2018,24943.9,25412.15,24707.65,25367,304703170.00
3-Oct-2018,25290.55,25470.05,25026.35,25069.9,261054513.00
4-Oct-2018,24735.15,24893.4,24501.05,24819.3,245813411.00
5-Oct-2018,24741.65,25080.2,24250.65,24443.45,230429144.00
8-Oct-2018,24470.75,24745.35,24240.05,24618.35,223867274.00
9-Oct-2018,24703.65,24759.9,24464.9,24527.65,175374004.00
10-Oct-2018,24596.6,25371.15,24559.9,25321.7,227005049.00
11-Oct-2018,24541.75,24940.1,24493.7,24783.95,255410789.00
12-Oct-2018,25001.95,25484.2,24975.45,25395.85,200602244.00
15-Oct-2018,25444,25466.2,25147.8,25388.05,146636264.00
