Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
31-Oct-2012,KOTAKBANK,EQ,598.65,600,606,591.1,604.4,603.75,601.16,399391,24009740420000.00,10808,197088,0.4935
1-Nov-2012,KOTAKBANK,EQ,603.75,603.75,614,597.1,612.45,612.55,609.01,426487,25973457115000.00,12169,222769,0.5223
2-Nov-2012,KOTAKBANK,EQ,612.55,616,618.4,610.15,611.5,612.3,613.85,285320,17514240200000.00,8941,151953,0.5326
5-Nov-2012,KOTAKBANK,EQ,612.3,612.05,626.7,612,625.05,625.65,621.78,620149,38559706430000.00,16035,331772,0.535
6-Nov-2012,KOTAKBANK,EQ,625.65,620,628.9,620,626.7,627,626.6,383318,24018597490000.00,11065,198681,0.5183
7-Nov-2012,KOTAKBANK,EQ,627,625,633.35,624,629.2,630,629.21,524994,33033322960000.00,12199,302227,0.5757
8-Nov-2012,KOTAKBANK,EQ,630,625.45,630,623.9,626.55,627.3,627.74,189902,11920850955000.00,8849,103569,0.5454
9-Nov-2012,KOTAKBANK,EQ,627.3,630,631.95,618.1,619.5,621.3,625.28,213240,13333396215000.00,4960,107010,0.5018
12-Nov-2012,KOTAKBANK,EQ,621.3,625.4,628,621.3,624.6,623.85,624.43,162675,10157854715000.00,9039,61650,0.379
13-Nov-2012,KOTAKBANK,EQ,623.85,621.65,623.15,615.1,618,618,619.18,35462,2195734605000.00,978,11273,0.3179
15-Nov-2012,KOTAKBANK,EQ,618,616.8,639.5,615.1,635.35,637.2,629.83,751983,47362277535000.00,31593,471626,0.6272
16-Nov-2012,KOTAKBANK,EQ,637.2,639,639,616,616.85,622.85,628.65,250348,15738048865000.00,9450,103526,0.4135
19-Nov-2012,KOTAKBANK,EQ,622.85,624.9,626,613.1,624.1,622.85,619.17,162506,10061855785000.00,6890,66949,0.412
20-Nov-2012,KOTAKBANK,EQ,622.85,626.95,632.05,616.9,624,621.7,624.21,465656,29066918375000.00,18767,266860,0.5731
21-Nov-2012,KOTAKBANK,EQ,621.7,625.45,630,620.7,627,629.3,625.82,361849,22645198350000.00,13535,220665,0.6098
22-Nov-2012,KOTAKBANK,EQ,629.3,631.5,632.75,622.7,628.25,627.95,627.76,264917,16630314469999.90,9136,143411,0.5413
23-Nov-2012,KOTAKBANK,EQ,627.95,628.5,631.95,621.5,624,624.35,625.47,207885,13002514765000.00,8754,123209,0.5927
26-Nov-2012,KOTAKBANK,EQ,624.35,625.5,630,621.15,625,627.35,626.65,178057,11157958000000.00,5620,103818,0.5831
27-Nov-2012,KOTAKBANK,EQ,627.35,628.9,637,622.75,635.5,635.05,632.49,630002,39846696805000.00,28193,423992,0.673
29-Nov-2012,KOTAKBANK,EQ,635.05,635.5,657.9,635.5,655,651.25,646.57,868651,56164568210000.00,15839,560550,0.6453
30-Nov-2012,KOTAKBANK,EQ,651.25,657,675,649.2,669.1,670.45,663.8,2029340,134708131205000.00,47370,1579013,0.7781
3-Dec-2012,KOTAKBANK,EQ,670.45,670,670,658,668,666.15,664.42,469368,31185577855000.00,14162,263487,0.5614
4-Dec-2012,KOTAKBANK,EQ,666.15,667.5,674.5,661.25,666.35,671.05,668.26,589945,39423884775000.00,18263,338147,0.5732
5-Dec-2012,KOTAKBANK,EQ,671.05,671.95,673.85,660.05,663.9,663.3,664.98,580587,38607889550000.00,17447,390273,0.6722
6-Dec-2012,KOTAKBANK,EQ,663.3,666.7,670,652.15,668.7,665.3,660.89,557842,36867269490000.00,13731,349537,0.6266
7-Dec-2012,KOTAKBANK,EQ,665.3,668.9,670.95,661.55,663.7,664.05,665.6,362250,24111522795000.00,8523,196616,0.5428
10-Dec-2012,KOTAKBANK,EQ,664.05,665.1,676.5,661.85,673.8,673.6,670.89,411855,27630980064999.90,11452,166295,0.4038
11-Dec-2012,KOTAKBANK,EQ,673.6,674.5,677,658.6,668.75,667,668.1,747405,49934145745000.00,20390,386095,0.5166
12-Dec-2012,KOTAKBANK,EQ,667,668.95,672.9,657.15,659.9,660.3,661.82,760203,50311496105000.00,26581,489050,0.6433
13-Dec-2012,KOTAKBANK,EQ,660.3,662.1,663.2,646.15,655,652.45,655.35,687388,45048087970000.00,27502,378833,0.5511
14-Dec-2012,KOTAKBANK,EQ,652.45,654.25,667.5,652.95,663.5,664.75,661.01,331028,21881214710000.00,7991,162397,0.4906
17-Dec-2012,KOTAKBANK,EQ,664.75,664,666.3,653.35,662,661.35,659.42,404300,26660360630000.00,13819,255415,0.6317
18-Dec-2012,KOTAKBANK,EQ,661.35,662.9,666.6,651.8,662.9,663.75,660.03,414368,27349658570000.00,15463,189126,0.4564
19-Dec-2012,KOTAKBANK,EQ,663.75,668,669,658.25,664.5,667.75,665.78,627889,41803699010000.00,20758,434093,0.6914
20-Dec-2012,KOTAKBANK,EQ,667.75,664,668,658.1,660.7,662.05,662.13,363230,24050553190000.00,10932,215223,0.5925
